iter	RMSE
0	13.95421314
1	13.06020139
2	12.2534202
3	11.54220831
4	10.88976382
5	10.37815027
6	9.875740799
7	9.430879819
8	9.007332238
9	8.594216049
10	8.216742614
11	7.905118018
12	7.66051018
13	7.388390432
14	7.15584221
15	6.936927623
16	6.75620654
17	6.60365071
18	6.449312626
19	6.300938028
20	6.186219814
21	6.098034717
22	6.004913586
23	5.92010759
24	5.841802371
25	5.771479002
26	5.707440309
27	5.664939137
28	5.617856174
29	5.577513868
30	5.530393694
31	5.49282976
32	5.45553021
33	5.424691287
34	5.402583711
35	5.369806038
36	5.345833632
37	5.334183848
38	5.312811849
39	5.288902497
40	5.265607543
41	5.247938089
42	5.228919005
43	5.210338122
44	5.192754289
45	5.180007641
46	5.157421949
47	5.13872012
48	5.129042297
49	5.115492339
50	5.10321639
51	5.094196898
52	5.079914667
53	5.066794183
54	5.04952124
55	5.035157872
56	5.024594891
57	5.016849446
58	5.007916108
59	4.990210754
60	4.982553354
61	4.970251603
62	4.963821988
63	4.954173656
64	4.941796503
65	4.931975561
66	4.923733845
67	4.901811161
68	4.8930834
69	4.880626716
70	4.865209768
71	4.851833798
72	4.839602872
73	4.824514684
74	4.820611503
75	4.806411715
76	4.798650233
77	4.785941224
78	4.771220663
79	4.760259493
80	4.751088878
81	4.738493807
82	4.724919707
83	4.71246716
84	4.70547166
85	4.698485598
86	4.69634579
87	4.685538693
88	4.679963214
89	4.666321088
90	4.660002269
91	4.647412388
92	4.633213043
93	4.623973936
94	4.612931541
95	4.604349895
96	4.600105733
97	4.595083769
98	4.592947438
99	4.584553257
